# INFERRED paired feed+nitrogen series — created by scripts/validate_twin.py.
# feed_g_per_fish_INFERRED is DERIVED from fortnightly weights via literature FCR(T), not measured.
# nitrate_sensor_units are uncalibrated sensor readings, not mg/L. See data/twin_validation.json for method and caveats.
date,pond,water_temp_c,feed_g_per_fish_INFERRED,fish_weight_g_interpolated,nitrate_sensor_units,holdout_half
2021-06-19,IoTPond2,25.75,1.407,3.36,199.0,fit
2021-06-20,IoTPond2,25.94,1.407,4.06,185.0,fit
2021-06-21,IoTPond2,25.25,1.407,4.76,173.0,fit
2021-06-22,IoTPond2,25.12,1.407,5.46,150.0,fit
2021-06-23,IoTPond2,24.5,1.407,6.16,145.0,fit
2021-06-24,IoTPond2,24.44,1.407,6.86,143.0,fit
2021-06-25,IoTPond2,24.75,1.369,7.56,144.0,fit
2021-06-26,IoTPond2,24.85,1.369,8.22,,fit
2021-06-27,IoTPond2,24.96,1.445,8.92,,fit
2021-06-28,IoTPond2,25.06,1.445,9.66,127.0,fit
2021-06-29,IoTPond2,24.62,1.407,10.36,123.0,fit
2021-06-30,IoTPond2,24.56,1.407,11.06,126.0,fit
2021-07-01,IoTPond2,25.19,1.407,11.76,131.0,fit
2021-07-02,IoTPond2,25.25,1.347,12.46,135.0,fit
2021-07-03,IoTPond2,24.56,1.538,13.1,134.0,fit
2021-07-04,IoTPond2,23.94,1.789,13.99,128.0,fit
2021-07-05,IoTPond2,24.84,1.789,14.88,153.0,fit
2021-07-06,IoTPond2,24.56,1.789,15.77,116.0,fit
2021-07-07,IoTPond2,25.44,1.789,16.66,144.0,fit
2021-07-08,IoTPond2,25.62,1.789,17.55,141.0,fit
2021-07-09,IoTPond2,24.94,1.789,18.44,143.0,fit
2021-07-10,IoTPond2,24.62,1.789,19.33,146.0,fit
2021-07-11,IoTPond2,25.0,1.789,20.22,156.0,fit
2021-07-12,IoTPond2,24.38,1.789,21.11,154.0,fit
2021-07-13,IoTPond2,24.62,1.789,22.0,139.0,fit
2021-07-14,IoTPond2,25.38,1.789,22.89,150.0,fit
2021-07-15,IoTPond2,24.75,1.789,23.78,151.0,fit
2021-07-16,IoTPond2,24.0,1.729,24.67,172.0,fit
2021-07-17,IoTPond2,24.44,2.342,25.5,142.0,fit
2021-07-18,IoTPond2,24.69,3.015,27.0,154.0,fit
2021-07-19,IoTPond2,24.62,3.015,28.5,151.0,fit
2021-07-20,IoTPond2,24.62,3.015,30.0,128.0,fit
2021-07-21,IoTPond2,24.56,3.015,31.5,151.5,fit
2021-07-22,IoTPond2,24.38,3.015,33.0,181.0,fit
2021-07-23,IoTPond2,24.19,3.015,34.5,234.0,fit
2021-07-24,IoTPond2,24.44,3.015,36.0,308.0,fit
2021-07-25,IoTPond2,24.44,3.015,37.5,336.0,fit
2021-07-26,IoTPond2,24.19,3.015,39.0,368.0,fit
2021-07-27,IoTPond2,24.06,3.015,40.5,358.0,fit
2021-07-28,IoTPond2,24.38,3.015,42.0,326.0,fit
2021-07-29,IoTPond2,24.75,3.015,43.5,349.0,fit
2021-07-30,IoTPond2,24.44,3.015,45.0,409.0,fit
2021-07-31,IoTPond2,24.31,2.975,46.5,441.0,fit
2021-08-01,IoTPond2,24.69,2.935,47.96,458.0,fit
2021-08-02,IoTPond2,24.5,2.935,49.42,473.0,fit
2021-08-03,IoTPond2,24.88,2.935,50.88,563.0,fit
2021-08-04,IoTPond2,24.81,2.935,52.34,659.0,fit
2021-08-05,IoTPond2,24.5,2.935,53.8,786.0,fit
2021-08-06,IoTPond2,24.06,2.935,55.26,938.0,fit
2021-08-07,IoTPond2,24.62,2.935,56.72,911.0,fit
2021-08-08,IoTPond2,23.88,2.935,58.18,838.0,fit
2021-08-09,IoTPond2,24.38,2.844,59.64,934.0,fit
2021-08-10,IoTPond2,23.94,2.935,61.01,902.0,fit
2021-08-11,IoTPond2,23.62,3.025,62.56,831.0,fit
2021-08-12,IoTPond2,23.38,2.935,64.02,893.0,fit
2021-08-13,IoTPond2,23.69,2.995,65.48,851.0,fit
2021-08-14,IoTPond2,24.38,5.146,67.0,962.0,fit
2021-08-15,IoTPond2,24.5,7.236,70.6,941.0,fit
2021-08-16,IoTPond2,24.19,7.236,74.2,896.0,fit
2021-08-17,IoTPond2,23.56,7.236,77.8,905.0,fit
2021-08-18,IoTPond2,23.56,7.185,81.4,973.0,fit
2021-08-19,IoTPond2,23.91,7.236,84.95,,fit
2021-08-20,IoTPond2,24.25,7.287,88.6,939.0,fit
2021-08-21,IoTPond2,23.69,7.236,92.2,926.5,fit
2021-08-22,IoTPond2,24.0,7.236,95.8,1082.0,fit
2021-08-23,IoTPond2,24.19,7.114,99.4,1041.0,fit
2021-08-24,IoTPond2,24.47,7.073,102.88,,fit
2021-08-25,IoTPond2,24.75,7.235,106.44,,validate
2021-08-26,IoTPond2,25.03,7.399,110.08,,validate
2021-08-27,IoTPond2,25.31,7.359,113.8,848.0,validate
2021-08-28,IoTPond2,24.62,6.734,117.4,892.5,validate
2021-08-29,IoTPond2,24.5,6.231,120.5,1008.0,validate
2021-08-30,IoTPond2,24.72,6.231,123.6,963.0,validate
2021-08-31,IoTPond2,25.41,6.231,126.7,1072.0,validate
2021-09-01,IoTPond2,24.94,6.207,129.8,1131.0,validate
2021-09-02,IoTPond2,24.56,6.231,132.88,,validate
2021-09-03,IoTPond2,24.19,6.255,136.0,1165.0,validate
2021-09-04,IoTPond2,23.88,6.231,139.1,1157.0,validate
2021-09-05,IoTPond2,24.12,8.212,142.2,1131.5,validate
2021-09-06,IoTPond2,24.22,10.313,147.27,,validate
2021-09-07,IoTPond2,24.32,10.554,152.46,,validate
2021-09-08,IoTPond2,24.42,10.797,157.77,,validate
2021-09-09,IoTPond2,24.51,11.044,163.21,,validate
2021-09-10,IoTPond2,24.61,11.293,168.76,,validate
2021-09-11,IoTPond2,24.71,11.545,174.44,,validate
2021-09-12,IoTPond2,24.8,11.8,180.25,,validate
2021-09-13,IoTPond2,24.9,12.058,186.18,,validate
2021-09-14,IoTPond2,25.0,12.318,192.25,,validate
2021-09-15,IoTPond2,25.09,15.681,198.44,992.5,validate
2021-09-16,IoTPond2,25.06,18.914,207.85,987.0,validate
2021-09-17,IoTPond2,25.5,18.914,217.26,1131.0,validate
2021-09-18,IoTPond2,25.56,18.914,226.67,1066.0,validate
2021-09-19,IoTPond2,25.12,18.793,236.08,993.0,validate
2021-09-20,IoTPond2,25.31,18.914,245.37,,validate
2021-09-21,IoTPond2,25.5,19.035,254.9,978.0,validate
2021-09-22,IoTPond2,25.0,18.914,264.31,970.0,validate
2021-09-23,IoTPond2,24.88,19.015,273.72,985.0,validate
2021-09-24,IoTPond2,25.0,18.974,283.23,976.0,validate
2021-09-25,IoTPond2,24.38,10.522,292.6,910.0,validate
2021-09-26,IoTPond2,23.81,2.211,293.7,1044.0,validate
2021-09-27,IoTPond2,24.62,2.211,294.8,1013.0,validate
2021-09-28,IoTPond2,25.31,2.211,295.9,1111.5,validate
2021-09-29,IoTPond2,25.12,2.211,297.0,1182.0,validate
2021-09-30,IoTPond2,25.0,2.211,298.1,1181.0,validate
2021-10-01,IoTPond2,25.25,2.211,299.2,1158.0,validate
2021-10-02,IoTPond2,25.31,2.211,300.3,1123.0,validate
2021-10-03,IoTPond2,26.12,2.196,301.4,1139.0,validate
2021-10-04,IoTPond2,26.19,2.188,302.5,1181.5,validate
2021-10-05,IoTPond2,26.06,2.203,303.6,1104.0,validate
2021-10-06,IoTPond2,26.06,2.203,304.7,1081.0,validate
2021-10-07,IoTPond2,25.5,2.211,305.8,1136.0,validate
2021-10-08,IoTPond2,25.62,2.211,306.9,1142.0,validate
2021-10-09,IoTPond2,25.94,5.276,308.0,1050.0,validate
2021-10-10,IoTPond2,25.38,8.341,312.15,1065.0,validate
2021-10-11,IoTPond2,25.38,8.342,316.3,1045.0,validate
2021-10-12,IoTPond2,26.81,7.971,320.45,958.0,validate
